"full_name","a","e","i","om","w","H","pha","G","pdes","ma","moid","diameter","epoch_mjd"
"488453 (1994 XD)",2.344,0.7337,4.33,96.02,249.55,19.24,Y,,488453,122.74,0.0199,,60600
"488490 (2000 AF205)",1.035,0.2770,2.41,219.90,127.51,21.90,Y,,488490,292.48,0.0184,,60600
"488515 (2001 FE90)",1.935,0.4952,8.81,98.38,145.42,20.71,Y,,488515,256.64,0.0138,,60600
"488789 (2004 XK50)",1.451,0.6886,38.23,94.05,104.02,19.13,Y,,488789,88.88,0.0415,1.039,60600
"489486 (2007 GS3)",1.061,0.1291,15.09,215.39,61.07,19.40,Y,,489486,306.17,0.0201,,60600
"490354 (2009 FF19)",1.213,0.4092,0.56,84.88,244.81,21.40,Y,,490354,127.29,0.00413,,60600
"494658 (2000 UG11)",1.929,0.5718,8.91,223.91,240.87,20.71,Y,,494658,322.34,0.00933,,60600
"494690 (2004 JQ1)",1.193,0.4500,32.83,77.05,272.66,20.10,Y,,494690,168.24,0.0315,,60600
"494697 (2004 SW55)",1.428,0.3340,8.79,75.12,352.85,20.77,Y,,494697,241.22,0.0307,,60600
"494975 (2009 WO106)",1.374,0.3853,17.35,281.69,134.68,19.18,Y,,494975,105.64,0.0495,,60600
"495187 (2012 VO76)",1.204,0.2150,36.95,229.47,297.36,21.05,Y,,495187,272.72,0.0361,,60600
"496005 (2007 XJ16)",2.258,0.5563,6.23,309.06,32.99,19.10,Y,,496005,32.92,0.0265,,60600
"496013 (2008 EL6)",1.728,0.4810,13.14,177.66,38.41,21.00,Y,,496013,93.80,0.0198,,60600
"496816 (1989 UP)",1.862,0.4722,3.85,53.16,17.82,20.54,Y,,496816,256.52,0.00594,0.3,60600
"496817 (1989 VB)",1.862,0.4601,2.18,37.85,330.92,19.99,Y,,496817,278.40,0.0168,0.4,60600
"496860 (1999 XL136)",1.819,0.6465,8.91,269.97,275.47,19.67,Y,,496860,28.38,0.00425,,60600
"496901 (2001 HB)",1.314,0.6940,9.28,195.82,238.00,20.69,Y,,496901,260.14,0.0133,,60600
"497117 (2004 FU4)",1.26,0.2639,23.25,31.56,46.31,18.33,Y,,497117,296.47,0.00256,,60600
"499582 (2010 TH19)",1.464,0.3101,6.83,254.20,201.50,20.53,Y,,499582,277.30,0.0368,0.461,60600
"500080 (2011 WV134)",2.795,0.6753,6.02,157.64,25.90,17.22,Y,,500080,250.63,0.018,,60600
"503861 (1998 WZ1)",2.163,0.5566,4.31,344.84,137.37,19.97,Y,,503861,35.72,0.023,,60600
"503941 (2003 UV11)",1.453,0.7626,5.93,31.78,124.95,19.65,Y,,503941,324.10,0.00787,0.260,60600
"504034 (2005 UJ159)",3.343,0.8317,35.61,80.25,95.79,17.62,Y,,504034,26.44,0.0389,,60600
"504256 (2006 VD13)",1.948,0.4837,11.71,313.94,162.89,19.07,Y,,504256,185.93,0.0336,,60600
"504680 (2009 EO2)",1.712,0.4807,11.48,264.63,220.60,19.78,Y,,504680,2.81,0.0127,,60600
"504800 (2010 CO1)",1.013,0.2179,24.02,351.56,252.71,21.48,Y,,504800,78.84,0.0222,0.380,60600
"505178 (2012 TV78)",1.816,0.5488,7.47,251.75,244.94,19.46,Y,,505178,268.57,0.014,,60600
"505657 (2014 SR339)",1.299,0.3038,29.79,138.74,299.64,18.48,Y,,505657,217.16,0.0368,0.971,60600
"506074 Svarog (2015 UM67)",1.558,0.6874,6.01,150.02,132.27,18.93,Y,,506074,247.70,0.0482,0.665,60600
"506491 (2003 UW29)",1.17,0.8386,3.76,196.48,55.27,20.77,Y,,506491,255.96,0.0181,,60600
"506732 (2006 VW2)",1.236,0.2944,10.05,229.77,299.68,21.32,Y,,506732,290.05,0.0145,,60600
"506859 (2007 VW137)",2.236,0.7348,5.83,297.40,247.48,18.25,Y,,506859,351.64,0.032,,60600
"507716 (2013 UP8)",2.535,0.6191,47.83,55.16,187.36,16.39,Y,,507716,318.58,0.0405,,60600
"508774 (1999 JE1)",1.323,0.7017,20.91,53.06,302.74,20.08,Y,,508774,214.12,0.0251,,60600
"508967 (2004 VC17)",1.895,0.8109,20.40,229.17,65.16,18.49,Y,,508967,247.56,0.00164,,60600
"509191 (2006 OC5)",2.402,0.6521,4.74,149.09,245.80,19.25,Y,,509191,305.36,0.0145,,60600
"509456 (2007 LF)",1.682,0.4198,6.99,239.39,333.92,20.57,Y,,509456,359.45,0.00257,,60600
"509821 (2008 WQ63)",1.734,0.6071,0.92,317.08,229.02,20.20,Y,,509821,308.58,0.00798,,60600
"509935 (2009 QL8)",1.931,0.5409,4.24,84.47,339.66,19.54,Y,,509935,202.68,0.028,,60600
"510055 (2010 FH81)",1.226,0.2105,16.80,84.60,158.31,21.51,Y,,510055,223.80,0.034,0.200,60600
"510529 (2012 EY11)",1.148,0.1508,9.02,167.58,238.88,21.58,Y,,510529,185.06,0.0288,,60600
"511008 (2013 PX6)",2.597,0.6515,13.66,187.37,229.70,18.55,Y,,511008,225.56,0.0298,1.647,60600
"511684 (2015 BN509)",1.007,0.5685,4.15,120.08,143.20,20.79,Y,,511684,166.20,0.0248,0.315,60600
"513126 (1998 QP)",1.786,0.5826,9.35,326.43,78.46,21.71,Y,,513126,325.88,0.0139,,60600
"513312 (2007 DM41)",1.181,0.5278,2.26,1.70,274.49,22.07,Y,,513312,211.78,0.00745,,60600
"513489 (2009 EV)",1.728,0.5235,17.00,138.55,250.28,20.12,Y,,513489,25.45,0.0312,,60600
"514150 (2015 KJ57)",1.559,0.4039,2.63,14.40,336.45,21.53,Y,,514150,239.72,0.0123,,60600
"514568 (1994 RC)",2.264,0.6036,4.76,344.25,286.54,19.22,Y,,514568,313.52,0.0381,,60600
"514596 (2003 FG)",1.241,0.7150,15.66,6.98,312.92,19.73,Y,,514596,166.36,0.0438,,60600
"515767 (2015 JA2)",1.034,0.3491,16.42,126.60,246.26,21.17,Y,,515767,233.79,0.0432,,60600
"516154 (2016 CL32)",1.543,0.4601,12.21,123.49,292.95,19.35,Y,,516154,214.31,0.0249,,60600
"516155 (2016 DP)",1.023,0.4771,13.33,54.36,254.01,20.11,Y,,516155,32.94,0.0318,,60600
"517103 (2013 EM20)",1.371,0.3179,8.36,73.88,350.16,19.92,Y,,517103,157.18,0.0424,,60600
"517681 (2015 DE198)",2.063,0.5832,12.26,33.23,218.11,18.86,Y,,517681,50.47,0.042,,60600
"518640 (2008 KZ5)",1.844,0.4545,8.36,142.55,194.42,20.05,Y,,518640,160.69,0.00313,,60600
"518678 (2008 UZ94)",2.191,0.5725,30.25,248.22,159.72,17.38,Y,,518678,322.94,0.0264,,60600
"518810 (2010 CF19)",1.193,0.2700,7.18,154.71,265.31,21.85,Y,,518810,142.87,0.0325,0.083,60600
"518847 (2010 DM)",2.081,0.8399,5.00,140.75,221.04,19.02,Y,,518847,8.79,0.0325,,60600
"523589 (2001 HA4)",2.69,0.7934,17.18,354.01,95.66,17.79,Y,,523589,134.96,0.025,1.851,60600
"523598 (2003 ED50)",1.416,0.5470,33.72,173.48,94.01,20.77,Y,,523598,258.77,0.0273,,60600
"523606 (2005 CJ)",1.75,0.5256,1.08,357.82,81.99,20.34,Y,,523606,203.33,0.00732,,60600
"523609 (2005 PJ2)",1.198,0.6594,17.42,326.43,128.89,19.53,Y,,523609,169.53,0.0445,,60600
"523623 (2008 CB22)",2.365,0.6533,7.27,51.17,33.42,19.72,Y,,523623,227.64,0.0464,,60600
"523630 (2009 OG)",2.706,0.8586,48.39,309.33,114.20,16.10,Y,,523630,137.74,0.0432,,60600
"523650 (2011 GQ61)",1.59,0.4121,65.16,333.51,155.09,18.59,Y,,523650,279.23,0.0266,,60600
"523654 (2011 SR5)",1.178,0.7057,29.13,180.10,305.55,20.95,Y,,523654,36.93,0.000164,,60600
"523656 (2011 WO4)",1.738,0.4977,60.94,225.18,235.99,19.29,Y,,523656,206.67,0.0299,,60600
"523662 (2012 MU2)",2.055,0.5138,11.22,250.30,16.60,20.77,Y,,523662,64.04,0.00102,,60600
"523685 (2014 DN112)",1.848,0.4939,4.30,260.18,145.91,20.04,Y,,523685,143.77,0.00279,,60600
"523732 (2014 PG51)",1.206,0.4528,3.79,275.74,294.16,20.66,Y,,523732,311.74,0.0231,,60600
"523775 (2014 YB35)",1.877,0.4833,12.64,3.72,188.64,19.11,Y,,523775,256.67,0.0208,0.279,60600
"523788 (2015 FP118)",2.121,0.5497,2.68,201.34,108.16,19.48,Y,,523788,1.51,0.03,,60600
"523804 (2000 YF29)",1.492,0.3713,6.30,124.74,28.10,20.31,Y,,523804,355.90,0.00855,,60600
"523813 (2008 VB1)",1.278,0.2751,10.32,50.35,136.98,20.65,Y,,523813,264.03,0.0191,,60600
"523814 (2008 WN2)",1.418,0.3118,3.75,227.09,283.40,20.81,Y,,523814,95.98,0.0493,,60600
"523816 (2009 ST103)",2.701,0.7184,15.74,226.45,234.66,18.14,Y,,523816,126.30,0.0371,0.851,60600
"523820 (2011 GN44)",2.245,0.5976,55.01,16.93,319.39,18.20,Y,,523820,307.31,0.00541,,60600
"523934 (1998 FF14)",1.253,0.3123,38.69,359.83,301.12,20.62,Y,,523934,251.74,0.0276,,60600
"524475 (2002 KJ4)",2.271,0.5570,27.92,75.52,155.48,19.36,Y,,524475,207.24,0.0251,,60600
"524594 (2003 NW1)",2.424,0.6432,6.16,265.02,118.89,18.68,Y,,524594,207.85,0.0256,,60600
"525229 (2004 UU1)",1.226,0.2732,29.97,217.76,113.63,21.17,Y,,525229,295.27,0.0269,,60600
"525231 (2004 VB)",1.459,0.4090,10.86,52.35,71.61,20.85,Y,,525231,77.99,0.0437,,60600
"525356 (2005 BG14)",1.993,0.7275,21.68,94.91,281.04,18.69,Y,,525356,24.82,0.0301,,60600
"525484 (2005 GL)",1.056,0.3063,15.90,43.61,265.35,21.30,Y,,525484,278.68,0.00624,,60600
"526670 (2006 UL217)",1.43,0.3486,9.92,45.18,310.12,20.75,Y,,526670,201.09,0.0213,,60600
"526878 (2007 FE)",1.794,0.4570,7.00,122.62,135.21,19.38,Y,,526878,90.40,0.0269,,60600
"527715 (2007 YQ56)",1.141,0.2881,26.45,276.00,273.09,19.97,Y,,527715,213.19,0.0127,,60600
"528804 (2009 BJ58)",1.849,0.7127,13.02,131.14,85.94,19.05,Y,,528804,61.52,0.016,,60600
"529366 (2009 WM1)",1.181,0.1689,25.77,240.25,162.64,20.42,Y,,529366,241.67,0.000225,,60600
"529668 (2010 JL33)",2.677,0.7350,5.38,52.45,309.89,17.89,Y,,529668,70.72,0.0313,1.778,60600
"529951 (2010 UD)",1.098,0.2640,26.29,23.74,262.26,21.08,Y,,529951,130.20,0.0126,,60600
"530085 (2010 XC11)",2.519,0.8492,9.12,94.09,121.47,18.76,Y,,530085,139.28,0.0319,,60600
"530520 (2011 LT17)",1.1,0.2874,20.90,83.45,270.62,21.85,Y,,530520,146.20,0.00173,,60600
"530974 (2012 BN11)",1.457,0.3950,4.36,153.71,69.77,20.77,Y,,530974,39.68,0.0216,,60600
"531277 (2012 MM11)",2.113,0.6479,3.18,245.42,124.24,20.30,Y,,531277,341.40,0.0112,,60600
"531914 (2013 BW76)",2.058,0.5337,40.36,58.22,0.56,18.37,Y,,531914,350.41,0.0281,,60600
"533372 (2014 GG17)",1.367,0.3525,39.15,195.28,239.58,20.17,Y,,533372,297.85,0.0155,,60600
"533671 (2014 LJ21)",2.889,0.8956,24.28,126.58,302.90,15.90,Y,,533671,51.35,0.0262,,60600
"533722 (2014 NE52)",2.385,0.6585,3.86,54.52,337.61,18.21,Y,,533722,256.99,0.0357,0.701,60600
"535844 (2015 BY310)",1.587,0.4008,4.79,328.41,229.53,21.89,Y,,535844,277.70,0.0243,,60600
"536531 (2015 DV215)",1.538,0.4027,13.20,13.92,41.37,20.46,Y,,536531,73.05,0.00744,,60600
"538212 (2016 CA136)",2.032,0.7812,1.26,239.74,125.01,19.35,Y,,538212,18.73,0.00705,0.654,60600
"539063 (2016 MK1)",1.5,0.7160,10.78,178.30,240.70,19.12,Y,,539063,94.81,0.0246,,60600
"549948 (2011 WL2)",1.078,0.2834,14.13,212.91,88.85,20.84,Y,,549948,275.83,0.00173,,60600
"551685 (2013 HT15)",1.101,0.4229,2.92,23.28,315.92,21.82,Y,,551685,265.36,0.0269,,60600
"585310 (2017 YZ1)",1.328,0.3351,20.87,277.70,298.49,20.43,Y,,585310,99.80,0.000695,,60600
"605070 (2016 BT39)",1.968,0.5382,8.96,174.97,203.19,19.67,Y,,605070,80.29,0.0478,,60600
"612012 (1983 LC)",2.603,0.7146,1.56,159.69,184.90,19.47,Y,,612012,270.70,0.0248,,60600
"612050 (1997 GL3)",2.27,0.7844,6.68,194.34,262.58,19.14,Y,,612050,23.62,0.00357,,60600
"612098 (1999 RM45)",1.684,0.6446,10.89,162.63,88.91,19.82,Y,,612098,215.47,0.00316,,60600
"612143 (2000 BO28)",1.699,0.6003,6.34,319.73,303.41,19.84,Y,,612143,1.98,0.0476,,60600
"612227 (2001 QC34)",1.129,0.1876,6.24,271.45,215.47,20.20,Y,,612227,332.57,0.0283,,60600
"612267 (2001 SG286)",1.358,0.3474,7.77,241.11,56.28,20.91,Y,,612267,236.56,0.00445,,60600
"612326 (2002 CD14)",1.779,0.5793,2.89,127.60,141.32,20.42,Y,,612326,149.31,0.0283,,60600
"612337 (2002 EY2)",1.725,0.4866,21.73,343.39,51.10,19.45,Y,,612337,67.64,0.000554,,60600
"612342 (2002 FC)",2.822,0.6660,6.76,50.10,195.23,19.16,Y,,612342,249.51,0.0304,,60600
"612348 (2002 GZ8)",2.821,0.6402,5.32,309.75,161.48,18.73,Y,,612348,287.59,0.0396,,60600
"612358 (2002 JE9)",1.066,0.4165,8.77,199.83,255.90,21.40,Y,,612358,201.66,0.00642,,60600
"612509 (2002 UK11)",1.324,0.5753,5.37,69.18,84.54,21.89,Y,,612509,107.30,0.0119,,60600
"612522 (2002 VP69)",2.019,0.5270,10.12,306.83,189.04,18.23,Y,,612522,202.97,0.0226,,60600
"612536 (2003 AA3)",1.421,0.2893,13.78,106.38,347.03,20.30,Y,,612536,311.80,0.0326,,60600
"612780 (2004 MD)",1.917,0.5365,9.77,85.39,124.28,20.16,Y,,612780,255.42,0.0157,,60600
"612786 (2004 PJ2)",1.418,0.3421,2.58,317.10,281.78,21.57,Y,,612786,23.99,0.0233,,60600
"612813 (2004 RF84)",2.164,0.6038,23.29,344.52,122.61,18.38,Y,,612813,71.76,0.0347,,60600
"612856 (2004 TP1)",1.291,0.3892,7.49,30.02,87.86,20.75,Y,,612856,182.75,0.0285,,60600
"612901 (2004 XP14)",1.052,0.1586,32.95,281.01,273.74,19.79,Y,,612901,54.12,0.000579,,60600
"612924 (2005 CL)",1.986,0.7547,4.45,318.37,298.57,20.29,Y,,612924,338.02,0.0239,,60600
"612989 (2005 LW39)",1.988,0.7156,28.47,251.45,275.19,20.00,Y,,612989,341.28,0.0276,,60600
"613450 (2006 PY17)",1.895,0.6404,2.85,309.91,133.19,19.30,Y,,613450,303.70,0.0255,,60600
"613714 (2007 DL41)",1.457,0.4765,4.67,150.72,140.23,20.82,Y,,613714,286.02,0.0462,,60600
"613986 (2008 JG)",1.051,0.2959,7.92,128.74,242.35,20.81,Y,,613986,324.38,0.0493,,60600
"614433 (2009 KK)",1.502,0.4552,18.21,68.12,247.34,20.58,Y,,614433,95.41,0.000922,,60600
"614470 Flordeneu (2009 ST19)",2.361,0.5949,6.73,0.13,336.93,18.39,Y,,614470,59.52,0.00973,,60600
"618350 (2021 PS2)",1.554,0.4735,7.92,163.29,79.01,19.92,Y,,618350,257.34,0.0352,,60600
"619106 (2005 SQ)",1.654,0.5748,1.20,317.11,294.98,20.11,Y,,619106,28.92,0.00554,,60600
"619920 (2006 KY86)",2.294,0.6486,7.47,222.29,321.65,19.74,Y,,619920,114.32,0.0483,,60600
"620055 (2003 BK47)",2.749,0.7062,20.66,138.78,235.34,17.76,Y,,620055,318.54,0.0194,,60600
"620056 (2004 UR1)",2.175,0.6164,4.08,250.92,73.45,20.53,Y,,620056,99.22,0.0193,,60600
"620063 (2009 DH39)",1.849,0.6001,53.69,155.39,68.25,18.77,Y,,620063,58.35,0.0176,,60600
"620066 (2010 SC41)",1.866,0.6068,0.25,235.53,267.58,19.86,Y,,620066,142.47,0.00113,,60600
"620071 (2011 WN15)",1.217,0.8580,33.43,75.55,218.57,19.64,Y,,620071,249.46,0.00309,,60600
"620082 (2014 QL433)",2.092,0.7170,4.43,322.63,260.62,19.87,Y,,620082,158.82,0.00901,,60600
"620085 (2014 WG365)",1.296,0.3333,25.12,71.31,111.13,20.12,Y,,620085,155.10,0.0131,,60600
"620092 (2015 HB10)",1.853,0.5716,5.70,6.12,79.69,18.40,Y,,620092,346.91,0.0263,,60600
"620094 (2016 AJ193)",3.261,0.8163,22.57,331.16,82.14,18.98,Y,,620094,185.53,0.015,1.374,60600
"620095 (2016 CB194)",2.512,0.6322,9.88,48.47,325.74,17.70,Y,,620095,119.35,0.000243,,60600
"620096 Curupira (2016 HL)",1.813,0.6157,5.15,232.69,252.07,19.85,Y,,620096,195.15,0.00784,,60600
"620099 (2016 OP5)",1.616,0.4523,8.24,79.52,291.04,20.95,Y,,620099,338.29,0.0455,,60600
"620100 (2016 WJ1)",1.34,0.5031,2.89,81.99,87.77,21.35,Y,,620100,345.15,0.000146,,60600
"620103 (2018 LC3)",1.346,0.5479,44.36,111.17,76.26,18.79,Y,,620103,55.37,0.0499,,60600
"620107 (2020 XK7)",2.012,0.5593,8.08,197.59,26.95,19.58,Y,,620107,81.97,0.0403,,60600
"621890 (2011 PO1)",2.515,0.6346,5.74,210.64,166.79,20.91,Y,,621890,98.78,0.0343,,60600
"627157 (2008 OX1)",1.206,0.2776,29.74,304.82,281.35,21.50,Y,,627157,138.09,0.036,,60600
"657084 (2016 GT220)",1.608,0.3799,23.65,3.09,27.02,17.83,Y,,657084,244.19,0.0243,,60600
"660096 (1998 SL36)",1.391,0.4181,19.06,353.08,116.80,20.23,Y,,660096,253.30,0.0197,,60600
"666729 (2010 TV149)",1.699,0.5188,9.79,78.58,42.90,18.72,Y,,666729,76.23,0.0443,,60600
"667255 (2011 EG17)",1.38,0.4188,20.11,170.10,241.55,20.68,Y,,667255,210.56,0.0434,,60600
"668949 (2012 PP28)",1.989,0.6067,5.67,254.05,133.68,19.27,Y,,668949,100.32,0.0265,,60600
"669051 (2012 SD22)",1.964,0.5727,7.91,140.22,313.83,20.06,Y,,669051,105.48,0.0167,,60600
"669555 (2012 YQ1)",1.998,0.5627,5.15,120.01,42.26,21.11,Y,,669555,50.22,0.00575,,60600
"671294 (2014 JO25)",2.066,0.8867,25.16,30.28,49.91,18.02,Y,,671294,201.55,0.00684,,60600
"671970 (2014 QO296)",1.835,0.4701,10.94,193.51,30.72,20.15,Y,,671970,59.12,0.0147,,60600
"672457 (2014 UR116)",2.07,0.7278,6.57,5.81,286.96,19.80,Y,,672457,142.70,0.0292,,60600
"672745 (2014 WV363)",1.846,0.5158,5.53,77.95,210.03,19.05,Y,,672745,18.13,0.0294,,60600
"673011 (2015 AR45)",1.385,0.7013,9.23,114.35,239.63,20.00,Y,,673011,38.07,0.0176,,60600
"674590 (2015 RH2)",1.218,0.2666,5.36,332.38,115.37,22.00,Y,,674590,210.05,0.0119,,60600
"675603 (2015 XE352)",1.335,0.3891,2.05,45.18,225.54,20.94,Y,,675603,45.42,0.0147,,60600
"678413 (2017 SV20)",1.303,0.3054,22.73,110.86,119.66,18.76,Y,,678413,52.25,0.00928,,60600
"678715 (2017 VV14)",2.24,0.8450,15.89,77.93,234.76,18.34,Y,,678715,48.24,0.0493,,60600
"678927 (2018 BP)",1.557,0.3977,3.33,183.28,216.51,20.56,Y,,678927,197.14,0.00307,,60600
"678976 (2018 EH4)",2.06,0.6126,6.19,2.83,75.23,21.68,Y,,678976,104.41,0.0241,,60600
"679440 (2019 GT2)",1.84,0.5108,6.74,88.38,343.89,19.10,Y,,679440,158.02,0.0439,,60600
"679655 (2020 BS12)",1.49,0.7457,4.63,311.97,90.29,20.11,Y,,679655,241.41,0.0356,,60600
"679656 (2020 BP13)",1.568,0.3525,8.14,208.99,357.32,21.07,Y,,679656,93.49,0.0129,,60600
"679786 (2020 QG3)",2.089,0.5654,7.43,186.56,229.76,21.21,Y,,679786,113.31,0.0162,,60600
"679814 (2020 TH5)",1.425,0.3985,4.60,175.77,326.46,21.04,Y,,679814,54.43,0.0346,,60600
"679885 (2021 NQ5)",1.611,0.4937,1.42,115.35,299.07,21.12,Y,,679885,166.37,7.29e-05,,60600
"696513 (2016 NL56)",1.407,0.5450,4.60,340.90,87.43,20.91,Y,,696513,270.79,0.00357,,60600
"712200 (2014 SM143)",1.206,0.4226,24.21,28.81,89.64,20.38,Y,,712200,153.82,0.00531,,60600
"719194 (2018 PL23)",1.567,0.7870,14.35,178.29,293.68,19.87,Y,,719194,341.87,0.0314,,60600
